Gôtovany	49.06025	19.50435
Habovka	49.27254	19.60589
Habura	49.32456	21.86176
Hajná Nová Ves	48.53671	18.03698
Hajnáčka	48.21837	19.95776
Hajtovka	49.29639	20.77373
Haligovce	49.36348	20.44776
Halič	48.35387	19.57631
Haluzice	48.82379	17.86696
Haláčovce	48.70205	18.19725
Hamuliakovo	48.03809	17.25031
Handlová	48.7276	18.76012
Hanigovce	49.17262	21.01793
Haniska	48.95436	21.23893
Hankovce	49.20358	21.40512
Hanková	48.74912	20.31396
Hanušovce nad Topľou	49.02691	21.50414
Harakovce	48.9978	20.84677
Harhaj	49.18758	21.42014
Harichovce	48.96187	20.58259
Harmanec	48.78653	19.06819
Hatalov	48.65882	21.88904
Hatné	49.18639	18.38248
Havaj	49.25669	21.78665
Havka	49.3451	20.40672
Havranec	49.41114	21.55514
Hačava	48.66667	20.83333
Hažlín	49.3012	21.42006
Hažín	48.75233	22.01938
Hažín nad Cirochou	48.92981	21.96048
Helcmanovce	48.8307	20.86767
Henckovce	48.71288	20.43219
Henclová	48.78686	20.59223
Hencovce	48.87645	21.73399
Hendrichovce	49.02425	21.00014
Hermanovce	49.04584	21.01629
Hermanovce nad Topľou	48.97031	21.49429
Hertník	49.20715	21.2376
Hervartov	49.24667	21.20546
Herľany	48.79975	21.47661
Heľpa	48.86099	19.9692
Hiadeľ	48.81053	19.31561
Hincovce	48.9587	20.72593
Hladovka	49.36967	19.75741
Hlboké	48.6592	17.40682
Hlboké nad Váhom	49.20967	18.59513
Hlinné	48.9507	21.57884
Hliník nad Hronom	48.53536	18.78734
Hlivištia	48.80858	22.22064
Hlohovec	49.07812	18.22893
Hniezdne	49.30265	20.63293
Hnilec	48.88716	21.00984
Hnilčík	48.85922	20.57451
Hnojné	48.77843	22.06913
Hnúšťa	48.57257	19.95395
Hodejov	48.30117	19.98982
Hodejovec	48.28199	20.0159
Hodkovce	48.98972	20.78484
Hodruša-Hámre	48.45655	18.80335
Hokovce	48.15485	18.8702
Holiare	47.8275	17.81459
Holice	47.99305	17.48179
Holiša	48.30813	19.7517
Holumnica	49.23369	20.5262
Holíč	48.81105	17.16238
Holčíkovce	49.01769	21.72552
Honce	48.66782	20.40524
Hontianska Vrbica	48.13479	18.70359
Hontianske Moravce	48.18559	18.84914
Hontianske Nemce	48.28627	18.98953
Hontianske Tesáre	48.20406	18.92035
Hontianske Trsťany	48.20816	18.80441
Horná Breznica	49.10951	18.24969
Horná Krupá	48.51632	17.52492
Horná Kráľová	48.24531	17.91311
Horná Lehota	49.25426	19.40261
